table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default	character_maximum_length
blockchain	kyc_records	31	blockchain_status	character varying	varchar	NO	'NOT_REQUESTED'::character varying	30
blockchain	kyc_records	32	blockchain_transaction_id	character varying	varchar	YES		255
blockchain	kyc_records	33	blockchain_ledger_key	character varying	varchar	YES		500
blockchain	kyc_records	34	blockchain_submitted_at	timestamp with time zone	timestamptz	YES		
blockchain	kyc_records	35	blockchain_error	text	text	YES		
blockchain	kyc_records	36	blockchain_retry_count	integer	int4	NO	0	
blockchain	kyc_records	37	created_by	character varying	varchar	YES		255
blockchain	kyc_records	38	created_at	timestamp with time zone	timestamptz	NO	now()	
blockchain	kyc_records	39	updated_at	timestamp with time zone	timestamptz	NO	now()	
blockchain	kyc_requests	1	id	integer	int4	NO	nextval('blockchain.kyc_requests_id_seq'::regclass)	
blockchain	kyc_requests	2	request_id	text	text	NO		
blockchain	kyc_requests	3	first_name	text	text	YES		
blockchain	kyc_requests	4	last_name	text	text	YES		
blockchain	kyc_requests	5	national_id	text	text	YES		
blockchain	kyc_requests	6	date_of_birth	date	date	YES		
blockchain	kyc_requests	7	nationality	text	text	YES		
blockchain	kyc_requests	8	email	text	text	YES		
blockchain	kyc_requests	9	phone	text	text	YES		
blockchain	kyc_requests	10	address	text	text	YES		
blockchain	kyc_requests	11	wallet_address	text	text	YES		
blockchain	kyc_requests	12	otp	text	text	YES		
blockchain	kyc_requests	13	mnemonic	text	text	YES		
blockchain	kyc_requests	14	fabric_customer_id	bigint	int8	YES		
blockchain	kyc_requests	15	created_at	timestamp without time zone	timestamp	YES	now()	
blockchain	kyc_statuses	1	kyc_status_id	bigint	int8	NO	nextval('blockchain.kyc_statuses_kyc_status_id_seq'::regclass)	
blockchain	kyc_statuses	2	status_code	character varying	varchar	NO		50
blockchain	kyc_statuses	3	status_name	character varying	varchar	NO		100
blockchain	kyc_statuses	4	arabic_name	character varying	varchar	YES		100
blockchain	kyc_statuses	5	is_active	boolean	bool	YES	true	
blockchain	kyc_statuses	6	sort_order	integer	int4	YES	1	
blockchain	kyc_statuses	7	created_at	timestamp without time zone	timestamp	YES	CURRENT_TIMESTAMP	
blockchain	kyc_statuses	8	updated_at	timestamp without time zone	timestamp	YES	CURRENT_TIMESTAMP	
blockchain	organizations	1	organization_id	uuid	uuid	NO	gen_random_uuid()	
blockchain	organizations	2	organization_code	character varying	varchar	NO		100
blockchain	organizations	3	organization_name	character varying	varchar	NO		255
blockchain	organizations	4	organization_type	character varying	varchar	NO		50
blockchain	organizations	5	fabric_org_msp_id	character varying	varchar	YES		100
